rank,country,score,gdp,social_support,life_expectancy,freedom,generosity,corruption
1,Finland,7.77,1.34,1.59,0.99,0.6,0.15,0.39
2,Denmark,7.6,1.38,1.57,1.0,0.59,0.25,0.41
3,Norway,7.55,1.49,1.58,1.03,0.6,0.27,0.34
4,Iceland,7.49,1.38,1.62,1.03,0.59,0.35,0.12
5,Netherlands,7.49,1.4,1.52,1.0,0.56,0.32,0.3
6,Switzerland,7.48,1.45,1.53,1.05,0.57,0.26,0.34
7,Sweden,7.34,1.39,1.49,1.01,0.57,0.27,0.37
8,New Zealand,7.31,1.3,1.56,1.03,0.58,0.33,0.38
9,Canada,7.28,1.36,1.5,1.04,0.58,0.28,0.31
10,Austria,7.25,1.38,1.48,1.02,0.53,0.24,0.23
11,Australia,7.23,1.37,1.55,1.04,0.56,0.33,0.29
12,Costa Rica,7.17,1.03,1.44,0.96,0.56,0.14,0.09
13,Israel,7.14,1.28,1.46,1.03,0.37,0.26,0.08
14,Luxembourg,7.09,1.61,1.48,1.01,0.53,0.19,0.32
15,United Kingdom,7.05,1.33,1.54,1.0,0.45,0.35,0.28
16,Ireland,7.02,1.5,1.55,1.0,0.52,0.3,0.31
17,Germany,6.98,1.37,1.45,0.99,0.5,0.26,0.26
18,Belgium,6.92,1.36,1.5,0.99,0.47,0.16,0.21
19,United States,6.89,1.43,1.46,0.87,0.45,0.28,0.13
20,Czech Republic,6.85,1.27,1.49,0.92,0.46,0.05,0.04
21,United Arab Emirates,6.82,1.5,1.31,0.82,0.6,0.26,0.18
22,Malta,6.73,1.3,1.52,1.0,0.56,0.38,0.15
23,Mexico,6.6,1.07,1.32,0.86,0.43,0.07,0.07
24,France,6.59,1.32,1.47,1.04,0.44,0.11,0.18
25,Taiwan,6.45,1.37,1.43,0.91,0.35,0.24,0.1
26,Chile,6.44,1.16,1.37,0.92,0.36,0.19,0.06
27,Guatemala,6.44,0.8,1.27,0.75,0.54,0.18,0.08
28,Saudi Arabia,6.38,1.4,1.36,0.8,0.44,0.08,0.13
29,Qatar,6.37,1.68,1.31,0.87,0.56,0.22,0.17
30,Spain,6.35,1.29,1.48,1.06,0.36,0.15,0.08
31,Panama,6.32,1.15,1.44,0.91,0.52,0.11,0.05
32,Brazil,6.3,1.0,1.44,0.8,0.39,0.1,0.09
33,Uruguay,6.29,1.12,1.46,0.89,0.52,0.13,0.15
34,Singapore,6.26,1.57,1.46,1.14,0.56,0.27,0.45
35,El Salvador,6.25,0.79,1.24,0.79,0.43,0.09,0.07
36,Italy,6.22,1.29,1.49,1.04,0.23,0.16,0.03
37,Bahrain,6.2,1.36,1.37,0.87,0.54,0.26,0.11
38,Slovakia,6.2,1.25,1.5,0.88,0.33,0.12,0.01
