rank,country,score,gdp,social_support,life_expectancy,freedom,generosity,corruption
1,Norway,7.54,1.62,1.53,0.8,0.64,0.36,0.32
2,Denmark,7.52,1.48,1.55,0.79,0.63,0.36,0.4
3,Iceland,7.5,1.48,1.61,0.83,0.63,0.48,0.15
4,Switzerland,7.49,1.56,1.52,0.86,0.62,0.29,0.37
5,Finland,7.47,1.44,1.54,0.81,0.62,0.25,0.38
6,Netherlands,7.38,1.5,1.43,0.81,0.59,0.47,0.28
7,Canada,7.32,1.48,1.48,0.83,0.61,0.44,0.29
8,New Zealand,7.31,1.41,1.55,0.82,0.61,0.5,0.38
9,Sweden,7.28,1.49,1.48,0.83,0.61,0.39,0.38
10,Australia,7.28,1.48,1.51,0.84,0.6,0.48,0.3
11,Israel,7.21,1.38,1.38,0.84,0.41,0.33,0.09
12,Costa Rica,7.08,1.11,1.42,0.76,0.58,0.21,0.1
13,Austria,7.01,1.49,1.46,0.82,0.57,0.32,0.22
14,United States,6.99,1.55,1.42,0.77,0.51,0.39,0.14
15,Ireland,6.98,1.54,1.56,0.81,0.57,0.43,0.3
16,Germany,6.95,1.49,1.47,0.8,0.56,0.34,0.28
17,Belgium,6.89,1.46,1.46,0.82,0.54,0.23,0.25
18,Luxembourg,6.86,1.74,1.46,0.85,0.6,0.28,0.32
19,United Kingdom,6.71,1.44,1.5,0.81,0.51,0.49,0.27
20,Chile,6.65,1.25,1.28,0.82,0.38,0.33,0.08
21,United Arab Emirates,6.65,1.63,1.27,0.73,0.61,0.36,0.32
22,Brazil,6.64,1.11,1.43,0.62,0.44,0.16,0.11
23,Czech Republic,6.61,1.35,1.43,0.75,0.49,0.09,0.04
24,Argentina,6.6,1.19,1.44,0.7,0.49,0.11,0.06
25,Mexico,6.58,1.15,1.21,0.71,0.41,0.12,0.13
26,Singapore,6.57,1.69,1.35,0.95,0.55,0.35,0.46
27,Malta,6.53,1.34,1.49,0.82,0.59,0.57,0.15
28,Uruguay,6.45,1.22,1.41,0.72,0.58,0.18,0.18
29,Guatemala,6.45,0.87,1.26,0.54,0.53,0.28,0.08
30,Panama,6.45,1.23,1.37,0.71,0.55,0.21,0.07
31,France,6.44,1.43,1.39,0.84,0.47,0.13,0.17
32,Thailand,6.42,1.13,1.43,0.65,0.58,0.57,0.03
33,Taiwan Province of China,6.42,1.43,1.38,0.79,0.36,0.26,0.06
34,Spain,6.4,1.38,1.53,0.89,0.41,0.19,0.07
35,Qatar,6.38,1.87,1.27,0.71,0.6,0.33,0.44
36,Colombia,6.36,1.07,1.4,0.6,0.48,0.15,0.05
37,Saudi Arabia,6.34,1.53,1.29,0.59,0.45,0.15,0.27
38,Trinidad and Tobago,6.17,1.36,1.38,0.52,0.52,0.33,0.01
39,Kuwait,6.11,1.63,1.26,0.63,0.5,0.23,0.22
40,Slovakia,6.1,1.33,1.51,0.71,0.3,0.14,0.02
41,Bahrain,6.09,1.49,1.32,0.65,0.54,0.17,0.26
42,Malaysia,6.08,1.29,1.28,0.62,0.4,0.42,0.07
43,Nicaragua,6.07,0.74,1.29,0.65,0.45,0.3,0.13
44,Ecuador,6.01,1.0,1.29,0.69,0.46,0.15,0.14
45,El Salvador,6.0,0.91,1.18,0.6,0.43,0.08,0.09
46,Poland,5.97,1.29,1.45,0.7,0.52,0.16,0.06
47,Uzbekistan,5.97,0.79,1.55,0.5,0.66,0.42,0.25
48,Italy,5.96,1.4,1.44,0.85,0.26,0.17,0.03
49,Russia,5.96,1.28,1.47,0.55,0.37,0.05,0.03
50,Belize,5.96,0.91,1.08,0.45,0.55,0.24,0.1
51,Japan,5.92,1.42,1.44,0.91,0.51,0.12,0.16
52,Lithuania,5.9,1.31,1.47,0.63,0.23,0.01,0.01
53,Algeria,5.87,1.09,1.15,0.62,0.23,0.07,0.15
54,Latvia,5.85,1.26,1.4,0.64,0.33,0.15,0.07
55,South Korea,5.84,1.4,1.13,0.9,0.26,0.21,0.06
56,Moldova,5.84,0.73,1.25,0.59,0.24,0.21,0.01
57,Romania,5.82,1.22,1.15,0.69,0.46,0.13,0.0
58,Bolivia,5.82,0.83,1.23,0.47,0.56,0.23,0.06
59,Turkmenistan,5.82,1.13,1.49,0.44,0.42,0.25,0.26
60,Kazakhstan,5.82,1.28,1.38,0.61,0.44,0.2,0.12
61,North Cyprus,5.81,1.35,1.19,0.83,0.47,0.27,0.16
62,Slovenia,5.76,1.34,1.45,0.79,0.57,0.24,0.05
63,Peru,5.72,1.04,1.22,0.63,0.45,0.13,0.05
64,Mauritius,5.63,1.19,1.21,0.64,0.49,0.36,0.04
65,Cyprus,5.62,1.36,1.13,0.84,0.36,0.27,0.04
66,Estonia,5.61,1.32,1.48,0.7,0.48,0.1,0.18
67,Belarus,5.57,1.16,1.44,0.64,0.3,0.16,0.16
68,Libya,5.53,1.1,1.36,0.52,0.47,0.15,0.09
69,Turkey,5.5,1.2,1.34,0.64,0.3,0.05,0.1
70,Paraguay,5.49,0.93,1.51,0.58,0.47,0.22,0.09
71,"Hong Kong S.A.R., China",5.47,1.55,1.26,0.94,0.49,0.37,0.29
72,Philippines,5.43,0.86,1.25,0.47,0.59,0.19,0.1
73,Serbia,5.39,1.07,1.26,0.65,0.21,0.22,0.04
74,Jordan,5.34,0.99,1.24,0.6,0.42,0.17,0.12
75,Hungary,5.32,1.29,1.34,0.69,0.18,0.08,0.04
76,Jamaica,5.31,0.93,1.37,0.64,0.47,0.23,0.06
77,Croatia,5.29,1.22,0.97,0.7,0.26,0.25,0.04
78,Kosovo,5.28,0.95,1.14,0.54,0.26,0.32,0.06
79,China,5.27,1.08,1.16,0.74,0.47,0.03,0.02
80,Pakistan,5.27,0.73,0.67,0.4,0.24,0.32,0.12
81,Indonesia,5.26,1.0,1.27,0.49,0.44,0.61,0.02
82,Venezuela,5.25,1.13,1.43,0.62,0.15,0.07,0.06
83,Montenegro,5.24,1.12,1.24,0.67,0.19,0.2,0.09
84,Morocco,5.24,0.88,0.77,0.6,0.41,0.03,0.09
85,Azerbaijan,5.23,1.15,1.15,0.54,0.4,0.05,0.18
86,Dominican Republic,5.23,1.08,1.4,0.57,0.55,0.19,0.11
87,Greece,5.23,1.29,1.24,0.81,0.1,0.0,0.04
88,Lebanon,5.22,1.07,1.13,0.74,0.29,0.26,0.04
89,Portugal,5.2,1.32,1.37,0.8,0.5,0.1,0.02
90,Bosnia and Herzegovina,5.18,0.98,1.07,0.71,0.2,0.33,0.0
91,Honduras,5.18,0.73,1.14,0.58,0.35,0.24,0.07
92,Macedonia,5.18,1.06,1.21,0.64,0.33,0.25,0.06
93,Somalia,5.15,0.02,0.72,0.11,0.6,0.29,0.28
94,Vietnam,5.07,0.79,1.28,0.65,0.57,0.23,0.09
95,Nigeria,5.07,0.78,1.22,0.06,0.39,0.23,0.03
96,Tajikistan,5.04,0.52,1.27,0.53,0.47,0.25,0.15
97,Bhutan,5.01,0.89,1.34,0.5,0.5,0.47,0.17
98,Kyrgyzstan,5.0,0.6,1.39,0.55,0.45,0.43,0.04
99,Nepal,4.96,0.48,1.18,0.5,0.44,0.39,0.07
100,Mongolia,4.95,1.03,1.49,0.56,0.39,0.34,0.03
101,South Africa,4.83,1.05,1.38,0.19,0.48,0.14,0.07
102,Tunisia,4.8,1.01,0.87,0.61,0.29,0.05,0.09
103,Palestinian Territories,4.78,0.72,1.16,0.57,0.25,0.11,0.09
104,Egypt,4.74,0.99,1.0,0.52,0.28,0.13,0.11
105,Bulgaria,4.71,1.16,1.43,0.71,0.29,0.11,0.01
106,Sierra Leone,4.71,0.37,0.98,0.01,0.32,0.29,0.07
107,Cameroon,4.7,0.56,0.95,0.13,0.43,0.24,0.05
108,Iran,4.69,1.16,0.71,0.64,0.25,0.39,0.05
109,Albania,4.64,1.0,0.8,0.73,0.38,0.2,0.04
110,Bangladesh,4.61,0.59,0.74,0.53,0.48,0.17,0.12
111,Namibia,4.57,0.96,1.1,0.34,0.52,0.08,0.09
112,Kenya,4.55,0.56,1.07,0.31,0.45,0.44,0.06
113,Mozambique,4.55,0.23,0.87,0.11,0.48,0.32,0.18
114,Myanmar,4.55,0.37,1.12,0.4,0.51,0.84,0.19
115,Senegal,4.53,0.48,1.18,0.41,0.38,0.18,0.12
116,Zambia,4.51,0.64,1.0,0.26,0.46,0.25,0.08
117,Iraq,4.5,1.1,0.98,0.5,0.29,0.2,0.11
118,Gabon,4.47,1.2,1.16,0.36,0.31,0.04,0.08
119,Ethiopia,4.46,0.34,0.86,0.35,0.41,0.31,0.17
120,Sri Lanka,4.44,1.01,1.26,0.63,0.56,0.49,0.07
121,Armenia,4.38,0.9,1.01,0.64,0.2,0.08,0.03
122,India,4.32,0.79,0.75,0.46,0.47,0.23,0.09
123,Mauritania,4.29,0.65,1.27,0.29,0.1,0.2,0.14
124,Congo (Brazzaville),4.29,0.81,0.83,0.29,0.44,0.12,0.08
125,Georgia,4.29,0.95,0.57,0.65,0.31,0.05,0.25
126,Congo (Kinshasa),4.28,0.09,1.23,0.19,0.24,0.25,0.06
127,Mali,4.19,0.48,1.28,0.17,0.31,0.18,0.1
128,Ivory Coast,4.18,0.6,0.9,0.05,0.45,0.2,0.13
129,Cambodia,4.17,0.6,1.01,0.43,0.63,0.39,0.07
130,Sudan,4.14,0.66,1.21,0.29,0.01,0.18,0.09
131,Ghana,4.12,0.67,0.87,0.3,0.42,0.26,0.03
132,Ukraine,4.1,0.89,1.39,0.58,0.12,0.27,0.02
133,Uganda,4.08,0.38,1.13,0.22,0.44,0.33,0.06
134,Burkina Faso,4.03,0.35,1.04,0.22,0.32,0.25,0.12
135,Niger,4.03,0.16,0.99,0.27,0.36,0.23,0.14
136,Malawi,3.97,0.23,0.51,0.32,0.47,0.29,0.07
137,Chad,3.94,0.44,0.95,0.04,0.16,0.22,0.05
138,Zimbabwe,3.88,0.38,1.08,0.2,0.34,0.19,0.1
139,Lesotho,3.81,0.52,1.19,0.0,0.39,0.16,0.12
140,Angola,3.8,0.86,1.1,0.05,0.0,0.1,0.07
141,Afghanistan,3.79,0.4,0.58,0.18,0.11,0.31,0.06
142,Botswana,3.77,1.12,1.22,0.34,0.51,0.1,0.1
143,Benin,3.66,0.43,0.44,0.21,0.43,0.21,0.06
144,Madagascar,3.64,0.31,0.91,0.38,0.19,0.21,0.07
145,Haiti,3.6,0.37,0.64,0.28,0.03,0.49,0.1
146,Yemen,3.59,0.59,0.94,0.31,0.25,0.1,0.06
147,South Sudan,3.59,0.4,0.6,0.16,0.15,0.29,0.12
148,Liberia,3.53,0.12,0.87,0.23,0.33,0.27,0.04
149,Guinea,3.51,0.24,0.79,0.19,0.35,0.26,0.11
150,Togo,3.49,0.31,0.43,0.25,0.38,0.2,0.1
151,Rwanda,3.47,0.37,0.95,0.33,0.58,0.25,0.46
152,Syria,3.46,0.78,0.4,0.5,0.08,0.49,0.15
153,Tanzania,3.35,0.51,1.04,0.36,0.39,0.35,0.07
154,Burundi,2.9,0.09,0.63,0.15,0.06,0.2,0.08
155,Central African Republic,2.69,0.0,0.0,0.02,0.27,0.28,0.06
